name,salary,points,position,id
Tom Starke,3000,0.0,GK,361616
David Yelldell,3000,0.0,GK,371266
Carlos García,3000,0.0,D,398232
Gordon Schildenfeld,3000,0.0,D,415336
Leandro Castán,3000,0.0,D,415469
Yoav Ziv,3000,0.0,D,418121
Aly Cissokho,3000,0.0,D,440579
Bakary Koné,3000,0.0,D,440603
Yannick Thoelen,3000,0.0,GK,459599
Mykola Morozyuk,3000,0.0,D,475412
Aymen Abdennour,3000,2.3,D,537149
Papy Djilobodji,3000,0.0,D,540069
Gabriel,3000,3.1,D,559289
Jordi Masip,3000,0.0,GK,564644
Stefanos Kapino,3000,0.0,GK,565008
Joao Costa,3000,0.0,GK,615399
Rafa,3000,0.0,D,615400
Erik Johansson,3000,0.0,D,653125
Baba Rahman,3000,6.5,D,660003
Ivan Lucic,3000,0.0,GK,660033
Marko Mikulic,3000,0.0,GK,699510
Lucas Mocio,3000,0.0,GK,723228
Romaric N'Gouma,3000,0.0,D,723235
André Caio,3000,0.0,GK,787856
Elio Capradossi,3000,0.0,D,794250
Filip Benkovic,3000,0.0,D,794466
Antonio Sivera,3000,0.0,GK,804638
Denis Scherbitski,3000,0.0,GK,840898
Evgeni Yablonski,3000,1.5,M,840942
Ola Aina,3000,0.0,D,880901
Jake Clarke-Salter,3000,0.0,D,880903
Anton Chichkan,3000,0.0,GK,884915
Dmitri Baiduk,3000,0.0,D,884925
Maksim Rovbut,3000,0.0,D,884942
Mario Musa,3000,0.0,D,885090
Felix Pohl,3000,0.0,D,892080
Alberto Botía,2900,0.0,D,422342
Maksim Volodko,2900,6.2,D,528838
Vitali Gayduchik,2800,0.0,D,597451
Praxitelis Vouros,2800,0.0,D,824889
Ioannis Maniatis,2500,0.0,D,415506
Oz Raly,2500,0.0,D,516502
Eli Dasa,2500,8.8,D,736306
Sean Goldberg,2500,0.0,D,888693
