"Sport","Entry","Contest_Date_EST","Place","Points","Winnings_Non_Ticket","Winnings_Ticket","Contest_Entries","Entry_Fee","Prize_Pool","Places_Paid"
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (1/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (2/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (3/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (4/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (5/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (6/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (7/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (8/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (9/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (10/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (11/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (12/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (13/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (14/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (15/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (16/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
"NFL","NFL GIANT $2 Double Up [$40,000 Guaranteed]  (Thu) (17/86)","2015-10-15 20:25:00",20,222.52,"$4.00","$0.00",22700,"$2.00","$40,000.00",10000
