name,salary,points,position,id
Jermaine Kearse,3600,8.1,WR,1850
Derrick Coleman,3000,0.8,RB,1918
Cooper Helfet,2500,0.3,TE,2028
Brenton Bersin,3100,0,WR,2068
Fozzy Whittaker,3000,1.5,RB,2214
B.J. Daniels,3000,0,WR,2233
Will Tukuafu,3000,0,RB,2238
Luke Willson,2500,3,TE,2251
Kevin Norwood,3000,0.3,WR,2536
Philly Brown,3000,5.3,WR,2664
Tyler Lockett,3200,7.4,WR,2769
Cameron Artis-Payne,3000,2.3,RB,2808
Devin Funchess,3000,4.3,WR,2809
Thomas Rawls,4800,6.5,RB,2933
Kellen Clemens,5000,0.3,QB,23
Philip Rivers,6300,16.7,QB,86
Aaron Rodgers,7700,22,QB,87
John Kuhn,3000,1.7,RB,220
Danny Woodhead,4700,13.5,RB,313
Malcom Floyd,3400,8.5,WR,395
Stevie Johnson,3800,9.8,WR,456
Jacoby Jones,3000,0.7,WR,459
James Jones,5800,13.7,WR,460
Antonio Gates,4600,12.4,TE,643
Donald Brown,3000,0.6,RB,798
David Johnson,2500,0.2,TE,878
John Phillips,2500,0.2,TE,889
Green Bay Packers,3200,8.3,DEF,1050
San Diego Chargers,2600,4.1,DEF,1054
James Starks,3300,5.9,RB,1137
Randall Cobb,7300,18,WR,1437
Scott Tolzien,5000,0.4,QB,1490
Dontrelle Inman,3300,2,WR,1594
Ladarius Green,3200,7.2,TE,1833
Keenan Allen,7600,16.1,WR,2215
Eddie Lacy,6300,15.4,RB,2313
Branden Oliver,3000,1.7,RB,2513
Jared Abbrederis,3000,0,WR,2595
Davante Adams,4300,8.1,WR,2596
Jeff Janis,3000,1.1,WR,2597
Richard Rodgers,3100,8.4,TE,2600
Melvin Gordon,4600,9.4,RB,2759
Brett Hundley,5000,0,QB,2790
Aaron Ripkowski,3000,0,RB,2791
Ty Montgomery,3500,8.6,WR,2792
Kennard Backman,2500,0.7,TE,2793
Alonzo Harris,3000,0.3,RB,2861
Joe Flacco,5900,14.4,QB,35
Matt Schaub,5000,0.3,QB,94
Reggie Bush,3500,3.4,RB,139
Justin Forsett,6400,14.1,RB,174
Anquan Boldin,4300,13.6,WR,341
Steve Smith,6100,9.4,WR,541
Vernon Davis,3000,7.6,TE,626
Baltimore Ravens,3400,6.7,DEF,1038
San Francisco 49ers,2100,5.6,DEF,1055
Blaine Gabbert,5000,0.3,QB,1393
Colin Kaepernick,5000,16.6,QB,1394
Bruce Miller,3000,1.5,RB,1420
Torrey Smith,4200,10.6,WR,1458
Kamar Aiken,4300,10.1,WR,1547
Garrett Celek,2500,3.6,TE,1845
Quinton Patton,3000,4.7,WR,2241
Vance McDonald,2500,1.7,TE,2242
Kyle Juszczyk,3500,3.3,RB,2265
Marlon Brown,3000,5.2,WR,2266
Carlos Hyde,4600,12.5,RB,2530
Bruce Ellington,3000,2,WR,2532
Lorenzo Taliaferro,3900,0,RB,2549
Crockett Gillmore,2700,8.1,TE,2553
Mike Davis,3000,2.6,RB,2763
Jarryd Hayne,3000,0.5,RB,2764
Blake Bell,2500,0.4,TE,2767
Javorius Allen,4300,4.5,RB,2773
Darren Waller,3000,2,WR,2775
Nick Boyle,2500,2.5,TE,2776
Maxx Williams,2800,2.5,TE,2777
DeAndrew White,3000,0.3,WR,2837
Tom Brady,8100,20.4,QB,13
Matt Hasselbeck,5100,0.4,QB,51
Frank Gore,4900,12.7,RB,180
Danny Amendola,3400,6.5,WR,323
Andre Johnson,4300,10.1,WR,452
Scott Chandler,2500,3.7,TE,613
Julian Edelman,7600,18.4,WR,832
New England Patriots,3100,7.6,DEF,1041
Indianapolis Colts,2500,3.7,DEF,1051
Rob Gronkowski,7600,17.3,TE,1189
LeGarrette Blount,4400,10.3,RB,1221
Dion Lewis,5800,15,RB,1418
Brandon Bolden,3000,1.1,RB,1769
Andrew Luck,7600,19.1,QB,1932
T.Y. Hilton,6500,15.8,WR,1937
Griff Whalen,3000,0.8,WR,1939
Dwayne Allen,2900,6,TE,1940
Coby Fleener,3000,6.5,TE,1941
Aaron Dobson,3000,3.8,WR,2139
Jack Doyle,2500,0.6,TE,2364
Jimmy Garoppolo,5000,0.3,QB,2441
James White,3000,1.3,RB,2444
Zurlon Tipton,3000,0.7,RB,2619
Donte Moncrief,5000,12,WR,2622
Josh Robinson,3000,4.2,RB,2799
Phillip Dorsett,3000,5.1,WR,2800
Eli Manning,6800,18,QB,65
Darren Sproles,3800,9.4,RB,285
Miles Austin,3200,3.3,WR,328
Brent Celek,2500,3.4,TE,612
Mark Sanchez,5000,0.6,QB,792
Rashad Jennings,4300,9.6,RB,805
New York Giants,2900,6.1,DEF,1036
Philadelphia Eagles,2900,6.6,DEF,1043
Sam Bradford,6000,16.6,QB,1109
Ryan Mathews,3500,8.4,RB,1132
Riley Cooper,3100,5.8,WR,1145
Victor Cruz,4500,1,WR,1262
Seyi Ajirotutu,3000,0.5,WR,1338
DeMarco Murray,6000,14.7,RB,1421
Shane Vereen,4200,10.1,RB,1430
Dwayne Harris,3100,8.7,WR,1443
Rueben Randle,4400,10.4,WR,1799
Larry Donnell,2800,7.6,TE,2095
Ryan Nassib,5000,0.2,QB,2164
Zach Ertz,2900,10,TE,2173
Kenjon Barner,3000,0,RB,2378
Orleans Darkwa,3000,0.4,RB,2434
Andre Williams,3000,3.3,RB,2464
Odell Beckham Jr.,8900,19.3,WR,2465
Josh Huff,3100,5.8,WR,2470
Jordan Matthews,6200,14.4,WR,2471
Trey Burton,2500,0.3,TE,2474
Jerome Cunningham,2500,1.9,TE,2707
Nikita Whitlock,3000,0.3,RB,2716
Geremy Davis,3000,1,WR,2743
Nelson Agholor,3600,6,WR,2744
