name,salary,points,position,id
Stefan Elliott,2500,2.0,D,568315
Alexei Emelin,2500,0.8,D,597144
Nathan Beaulieu,2500,1.9,D,600115
Adam Clendening,2500,0.0,D,607581
William Karlsson,2500,1.3,C,607609
Klas Dahlbeck,2500,0.8,D,607971
Reid Boucher,2500,0.5,LW,610578
Jyrki Jokipakka,2500,1.4,D,615332
Brandon Manning,2500,1.5,D,621383
Brian O'Neill,2500,0.3,RW,651166
Greg Pateryn,2500,0.0,D,653239
Bobby Farnham,2500,0.2,RW,656157
Scott Laughton,2500,2.0,C,659866
Jordan Martinook,2500,1.6,LW,660807
Brett Kulak,2500,0.7,D,681417
Andrej Sustr,2500,0.4,D,728700
Nate Schmidt,2500,1.5,D,729825
Adam Erne,2500,0.0,LW,743038
Evgeny Medvedev,2500,1.1,D,813220
Pierre-Edouard Bellemare,2500,1.3,LW,829696
Sergey Kalinin,2500,0.2,RW,872604
